Date,Store,Dept,Weekly_Sales,Type,Size,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday,Year,Month,Week,Promotional_Discount
2019-02-05,1,1,24924.5,A,151315,42.31,2.572,211.0963582,8.106,No,2019,2,1,16261.92245969254
2019-02-05,9,97,668.48,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,85,693.87,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,8,80,8654.6,A,155078,34.14,2.572,214.4714512,6.299,No,2019,2,1,14918.89426958363
2019-02-05,9,55,11123.56,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,52,1150.25,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,28,356.9,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,29,2604.7,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,30,2281.0,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,4,96,32581.21,A,205863,43.76,2.598,126.4420645,8.623,No,2019,2,1,19838.3680016247
2019-02-05,9,31,1095.82,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,32,6251.72,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,33,2235.49,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,34,8620.13,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,54,178.0,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,35,1134.0,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,40,32427.39,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,41,714.0,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,96,2438.08,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,42,2504.68,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,95,23292.1,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,91,292.64,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,2,24917.84,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,3,6733.37,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,8,93,23348.83,A,155078,34.14,2.572,214.4714512,6.299,No,2019,2,1,14918.89426958363
2019-02-05,9,25,6014.75,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,26,6076.44,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,27,1181.5,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,59,241.86,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,4,94,57647.52,A,205863,43.76,2.598,126.4420645,8.623,No,2019,2,1,19838.3680016247
2019-02-05,9,67,3596.09,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,71,2479.26,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,72,51530.74,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,74,8076.88,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,79,14562.38,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,81,2056.57,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,56,769.32,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,82,8658.41,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,4,93,60623.33,A,205863,43.76,2.598,126.4420645,8.623,No,2019,2,1,19838.3680016247
2019-02-05,9,87,11680.93,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,90,2335.92,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,9,92,11620.09,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,5,1,9323.89,B,34875,39.7,2.572,211.6539716,6.566,No,2019,2,1,7230.272059479554
2019-02-05,9,44,2705.26,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,5,11,5501.87,B,34875,39.7,2.572,211.6539716,6.566,No,2019,2,1,7230.272059479554
2019-02-05,8,14,11410.69,A,155078,34.14,2.572,214.4714512,6.299,No,2019,2,1,14918.89426958363
2019-02-05,5,10,8372.87,B,34875,39.7,2.572,211.6539716,6.566,No,2019,2,1,7230.272059479554
2019-02-05,9,46,7417.41,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,8,12,5158.64,A,155078,34.14,2.572,214.4714512,6.299,No,2019,2,1,14918.89426958363
2019-02-05,9,36,158.0,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,14,19,74.91,A,200898,27.31,2.784,181.8711898,8.992,No,2019,2,1,19956.04368865647
2019-02-05,8,79,29645.68,A,155078,34.14,2.572,214.4714512,6.299,No,2019,2,1,14918.89426958363
2019-02-05,5,3,4190.2,B,34875,39.7,2.572,211.6539716,6.566,No,2019,2,1,7230.272059479554
2019-02-05,8,1,16181.89,A,155078,34.14,2.572,214.4714512,6.299,No,2019,2,1,14918.89426958363
2019-02-05,8,2,37550.1,A,155078,34.14,2.572,214.4714512,6.299,No,2019,2,1,14918.89426958363
2019-02-05,5,9,4877.38,B,34875,39.7,2.572,211.6539716,6.566,No,2019,2,1,7230.272059479554
2019-02-05,8,3,10483.04,A,155078,34.14,2.572,214.4714512,6.299,No,2019,2,1,14918.89426958363
2019-02-05,8,4,21759.76,A,155078,34.14,2.572,214.4714512,6.299,No,2019,2,1,14918.89426958363
2019-02-05,8,5,23880.84,A,155078,34.14,2.572,214.4714512,6.299,No,2019,2,1,14918.89426958363
2019-02-05,8,6,4104.97,A,155078,34.14,2.572,214.4714512,6.299,No,2019,2,1,14918.89426958363
2019-02-05,8,7,16528.54,A,155078,34.14,2.572,214.4714512,6.299,No,2019,2,1,14918.89426958363
2019-02-05,8,8,28177.56,A,155078,34.14,2.572,214.4714512,6.299,No,2019,2,1,14918.89426958363
2019-02-05,8,9,8244.57,A,155078,34.14,2.572,214.4714512,6.299,No,2019,2,1,14918.89426958363
2019-02-05,8,10,28716.87,A,155078,34.14,2.572,214.4714512,6.299,No,2019,2,1,14918.89426958363
2019-02-05,5,8,14337.76,B,34875,39.7,2.572,211.6539716,6.566,No,2019,2,1,7230.272059479554
2019-02-05,8,11,19366.65,A,155078,34.14,2.572,214.4714512,6.299,No,2019,2,1,14918.89426958363
2019-02-05,8,13,28075.31,A,155078,34.14,2.572,214.4714512,6.299,No,2019,2,1,14918.89426958363
2019-02-05,9,1,12861.4,B,125833,38.01,2.572,214.6554591,6.415,No,2019,2,1,8531.491384383251
2019-02-05,8,97,16478.69,A,155078,34.14,2.572,214.4714512,6.299,No,2019,2,1,14918.89426958363
2019-02-05,6,41,1630.74,A,202505,40.43,2.572,212.6223518,7.259,No,2019,2,1,18281.02638381668
2019-02-05,5,23,7253.83,B,34875,39.7,2.572,211.6539716,6.566,No,2019,2,1,7230.272059479554
2019-02-05,6,42,8163.79,A,202505,40.43,2.572,212.6223518,7.259,No,2019,2,1,18281.02638381668
2019-02-05,6,44,8361.32,A,202505,40.43,2.572,212.6223518,7.259,No,2019,2,1,18281.02638381668
2019-02-05,6,45,24.62,A,202505,40.43,2.572,212.6223518,7.259,No,2019,2,1,18281.02638381668
2019-02-05,6,46,27470.39,A,202505,40.43,2.572,212.6223518,7.259,No,2019,2,1,18281.02638381668
2019-02-05,6,37,5165.01,A,202505,40.43,2.572,212.6223518,7.259,No,2019,2,1,18281.02638381668
2019-02-05,5,12,2138.59,B,34875,39.7,2.572,211.6539716,6.566,No,2019,2,1,7230.272059479554
2019-02-05,6,27,3115.0,A,202505,40.43,2.572,212.6223518,7.259,No,2019,2,1,18281.02638381668
2019-02-05,6,25,14733.0,A,202505,40.43,2.572,212.6223518,7.259,No,2019,2,1,18281.02638381668
2019-02-05,6,8,51620.42,A,202505,40.43,2.572,212.6223518,7.259,No,2019,2,1,18281.02638381668
2019-02-05,6,9,26716.19,A,202505,40.43,2.572,212.6223518,7.259,No,2019,2,1,18281.02638381668
2019-02-05,6,10,43843.57,A,202505,40.43,2.572,212.6223518,7.259,No,2019,2,1,18281.02638381668
2019-02-05,6,11,21103.95,A,202505,40.43,2.572,212.6223518,7.259,No,2019,2,1,18281.02638381668
2019-02-05,6,12,7150.11,A,202505,40.43,2.572,212.6223518,7.259,No,2019,2,1,18281.02638381668
2019-02-05,6,13,39860.7,A,202505,40.43,2.572,212.6223518,7.259,No,2019,2,1,18281.02638381668
2019-02-05,5,26,2054.31,B,34875,39.7,2.572,211.6539716,6.566,No,2019,2,1,7230.272059479554
2019-02-05,6,14,28269.16,A,202505,40.43,2.572,212.6223518,7.259,No,2019,2,1,18281.02638381668
2019-02-05,6,26,10668.54,A,202505,40.43,2.572,212.6223518,7.259,No,2019,2,1,18281.02638381668
2019-02-05,6,16,11819.17,A,202505,40.43,2.572,212.6223518,7.259,No,2019,2,1,18281.02638381668
2019-02-05,6,28,1190.89,A,202505,40.43,2.572,212.6223518,7.259,No,2019,2,1,18281.02638381668
2019-02-05,5,30,1176.26,B,34875,39.7,2.572,211.6539716,6.566,No,2019,2,1,7230.272059479554
2019-02-05,5,52,823.96,B,34875,39.7,2.572,211.6539716,6.566,No,2019,2,1,7230.272059479554
2019-02-05,5,54,65.0,B,34875,39.7,2.572,211.6539716,6.566,No,2019,2,1,7230.272059479554
2019-02-05,5,55,4477.5,B,34875,39.7,2.572,211.6539716,6.566,No,2019,2,1,7230.272059479554
2019-02-05,5,56,814.25,B,34875,39.7,2.572,211.6539716,6.566,No,2019,2,1,7230.272059479554
